id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
506273,William John's Pizza,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 700,"Italian,Snacks",20722009000022,https://www.swiggy.com/restaurants/william-johns-pizza-gota-vaishnodevi-circle-ahmedabad-506273,"William John's Pizza, Shop No. 8, Runscape Building, Vaishnodevi Circle, Sarkhej Gandhinagar Highway, Ahmedabad, Gujarat-382481",Menu/506273.json
563232,The Little Easy,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Burgers,Snacks",license,https://www.swiggy.com/restaurants/the-little-easy-gota-ahmedabad-563232,"The Little Easy, G307 Vrindhavan Cluster Godrej Garden City Jagatpur , Gota(New West Zone),  Ahmedabad, 382471",Menu/563232.json
565654,rampanth gujarati thali,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Gujarati,North Indian",20722038002315,https://www.swiggy.com/restaurants/rampanth-gujarati-thali-gota-ahmedabad-565654,"rampanth gujarati thali, A 115,116 ganesh glory 11 jagatpur road sarkhej gandhinagar highway ahmedabad",Menu/565654.json
479770,Omkara Restaurant,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"Fast Food,North Indian",10716026000496,https://www.swiggy.com/restaurants/omkara-restaurant-gota-ahmedabad-479770,"Omkara Restaurant, GF-A/1, RATNA PRIDE FLAT, NR RAILWAY CROSSING, BEHIND NIRMA UNIVERSITY, TRAGAD, AHMEDABAD",Menu/479770.json
460232,Ad Momos And Chinese Foods,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 150,"Chinese,Pizzas",20721037002677,https://www.swiggy.com/restaurants/ad-momos-and-chinese-foods-gota-ahmedabad-460232,"Ad Momos And Chinese Foods, RAIN FOREST RESTAURANT, Sarkhej - Gandhinagar Hwy, opp. MANAN AUTOLINK, Gota, Ahmedabad, Gujarat 382481, India",Menu/460232.json
462413,R. B. Dosa,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"South Indian,Beverages",20721038001431,https://www.swiggy.com/restaurants/r-b-dosa-gota-ahmedabad-462413,"R. B. Dosa, Nr. Nirma University, Charodi Char Rasta, SG Highway, Gota, Ahmedabad - 382481",Menu/462413.json
317206,One Bite,"GOTA,Ahmedabad",4.1,20+ ratings,₹ 350,Italian,20720034001183,https://www.swiggy.com/restaurants/one-bite-gota-malabar-county-2-ahmedabad-317206,"One Bite, BLOCK-B, SHOP NO. GF 10, MALABAR COUNTRY, B/H NIRMA UNIVERSITY, AHMEDABAD, GUJARAT- 382470",Menu/317206.json
523857,Shree Khodiyar Ice Gola,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,Ice Cream,20722038001096,https://www.swiggy.com/restaurants/shree-khodiyar-ice-gola-gota-ahmedabad-523857,"Shree Khodiyar Ice Gola, AMC GARDEN VANDEMATARAM ,NEAR SUKUN GOLD,VANDEMATARAM  Gota, Ahmedabad, Gujarat 382481, India",Menu/523857.json
523617,Jx-E Ice Dish Gola & Food,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Fast Food,Desserts",20722038001571,https://www.swiggy.com/restaurants/jx-e-ice-dish-gola-and-food-gota-ahmedabad-523617,"Jx-E Ice Dish Gola & Food, GF-11, 12, Block-D, Shukan Status, Nr. Vandematram Cross Road, Opp. Shukan Residency, New SG Rd, Vandematram Arcade, Janta Nagar, Gota, Ahmedabad, Gujarat 382481, India",Menu/523617.json
550530,Sanskari Biryani,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"Biryani,Desserts",license,https://www.swiggy.com/restaurants/sanskari-biryani-godrej-garden-city-ahmedabad-550530,"Sanskari Biryani, First Floor FF/14,City Square Shop,above central bank of India opp EDEN FLATS,GODREJ GARDEN CITY., Land mark :19 cinema Jagatpur,ahmedabad-382470",Menu/550530.json
493013,Desi Stuff,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 400,North Indian,license,https://www.swiggy.com/restaurants/desi-stuff-gota-ahmedabad-493013,"Desi Stuff, MALABAR COUNTY 2 , behind nirma university ,chandlodiya",Menu/493013.json
550533,New York Churros Co.,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Bakery,Desserts",license,https://www.swiggy.com/restaurants/new-york-churros-co-godrej-garden-city-ahmedabad-550533,"New York Churros Co., First Floor FF/14,City Square Shop,above central bank of India opp EDEN FLATS,GODREJ GARDEN CITY., Land mark :19 cinema Jagatpur,ahmedabad-382470",Menu/550533.json
510753,Urban Khichdi,"GOTA,Ahmedabad",3.5,20+ ratings,₹ 250,"Indian,Punjabi",10722009000064,https://www.swiggy.com/restaurants/urban-khichdi-gota-ahmedabad-510753,"Urban Khichdi, Shop No:- 5, Shaligram Lakeview, Nr. Vaishnodevi Circle, S. P. Ring Road, Gandhinagar, Gujarat-382470",Menu/510753.json
513901,Cafe Chaai Paani,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 100,"Beverages,Snacks",20722038000157,https://www.swiggy.com/restaurants/cafe-chaai-paani-gota-ahmedabad-513901,"Cafe Chaai Paani, Shop no, G-11, Gala Celestia in front of Balaji Wind Park, Vaishnodevi Circle, Gota (New West Zone), Ahmedabad, Gujarat - 382210",Menu/513901.json
550539,MBA In Khichdi,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Indian,Desserts",license,https://www.swiggy.com/restaurants/mba-in-khichdi-godrej-garden-city-ahmedabad-550539,"MBA In Khichdi, First Floor FF/14,City Square Shop,above central bank of India opp EDEN FLATS,GODREJ GARDEN CITY., Land mark :19 cinema Jagatpur,ahmedabad-382470",Menu/550539.json
369836,Mc Oliver'S Pizza,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Pizzas,Chinese",10721026000450,https://www.swiggy.com/restaurants/mc-olivers-pizza-gota-ahmedabad-369836,"Mc Oliver'S Pizza, FF. 10-14 ROYAL HOMES ,NR SATYAMEV  VISTA ,GOTA., Ahmedabad, Ahmedabad  Municipal Corporation, Gujarat-382481",Menu/369836.json
452266,Samosazz,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,"Snacks,Pizzas",20721038001747,https://www.swiggy.com/restaurants/samosazz-gota-vaishnodevi-circle-khodhiyar-ahmedabad-452266,"Samosazz, GF 12, Sun Setu Appartment, Near Gaurbandh Hotel, Vaishnodevi Circle, Khodiyar, Daskroi, Ahmedabad, Gujarat-382421",Menu/452266.json
431486,Shree Balaji Pakodi Centre,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,Chaat,20721038001290,https://www.swiggy.com/restaurants/shree-balaji-pakodi-centre-gota-ahmedabad-431486,"Shree Balaji Pakodi Centre, 4HC8+M6 Ahmedabad, Gujarat, India",Menu/431486.json
478650,The Juice Point,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,"Juices,Beverages",license,https://www.swiggy.com/restaurants/the-juice-point-gota-ahmedabad-478650,"The Juice Point, Shop no 4 ICON complex vande matram cross road ahmedabad  382481",Menu/478650.json
403379,Waffle World,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,"Desserts,Beverages",license,https://www.swiggy.com/restaurants/waffle-world-gota-ahmedabad-403379,"Waffle World, 27/30, New Ranip, Ahmedabad, Gujarat 382470, India",Menu/403379.json
411997,The Flavour Fare,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 400,"North Indian,Chinese",20721037004316,https://www.swiggy.com/restaurants/the-flavour-fare-gota-ahmedabad-411997,"The Flavour Fare, Shop no 2. Ground Floor, Centre Point, Opp. Vrundawan Height, Beside Savvy Swaaraj, On Vandemataram road, Chenpur, Ahmedabad 382470",Menu/411997.json
164540,Shreeji Khana Khazana Cafe,"GOTA,Ahmedabad",4.3,20+ ratings,₹ 300,"Indian,Chinese",20719034001998,https://www.swiggy.com/restaurants/shreeji-khana-khazana-cafe-vandematram-hills-chandlodiya-ahmedabad-164540,"Shreeji Khana Khazana Cafe, 10,Ground floor, Shukan residency, Opp.phonewale,vandemataram char rasta, New S.G. road,Gota Ahmedabad",Menu/164540.json
229306,Rajwadi Food,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 400,"Gujarati,North Indian",20719037004829,https://www.swiggy.com/restaurants/rajwadi-food-gota-ahmedabad-229306,"Rajwadi Food, B-504, Nirman Rejoice, Opp. Godrej Garden City, Village : Jagatpur, Tal:Daskroi, Ahmedabad, Dascroi, AMC,382470",Menu/229306.json
352851,The Burger House,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 150,Combo,20722034000752,https://www.swiggy.com/restaurants/the-burger-house-gota-chandkheda-ahmedabad-352851,"The Burger House, The Burger House, Mansarovar society,IOC Road, Dharti Nagar, Chandkheda, Ahmedabad, Gujarat, India",Menu/352851.json
360111,New Freeze Land,"GOTA,Ahmedabad",4.0,50+ ratings,₹ 200,"Cafe,American",20721037000351,https://www.swiggy.com/restaurants/new-freeze-land-gota-ahmedabad-360111,"New Freeze Land, GF-4 center point,opp.vrundavan heights,vandematram road,gota.382470",Menu/360111.json
